CPU %, %MEM, TIME+, COMMAND
0.0, 0.0, 0:00.54, contain+
0.0, 0.1, 0:00.56, contain+
0.0, 0.3, 0:03.13, prometh+
0.0, 0.9, 0:17.60, grafana
0.0, 0.1, 0:00.03, gvfsd-m+
0.0, 18.8, 1:45.08, java
0.0, 0.4, 2:14.43, Xwayland
0.0, 0.2, 0:00.44, gsd-xse+
0.0, 0.2, 0:00.25, ibus-x11
0.0, 0.4, 0:11.25, mutter-+
0.0, 0.0, 0:00.02, control+
0.0, 0.7, 3:13.88, nautilus
0.0, 0.1, 0:00.12, gvfsd-r+
0.0, 0.3, 0:00.53, update-+
0.0, 0.1, 0:00.03, gvfsd-n+
0.0, 0.1, 0:00.03, gvfsd-d+
0.0, 0.1, 0:00.01, oosplash
0.0, 3.0, 0:10.91, soffice+
0.0, 6.2, 6:50.75, firefox
0.0, 0.3, 0:00.10, Socket +
0.0, 0.9, 0:02.05, WebExte+
0.0, 1.3, 0:11.40, Privile+
0.0, 0.2, 0:00.50, snap
0.0, 0.4, 0:00.18, Utility+
0.0, 3.2, 8:44.86, Isolate+
0.0, 3.9, 1:59.28, Isolate+
0.0, 0.4, 0:00.13, RDD Pro+
0.0, 0.0, 0:01.51, kworker+
0.0, 0.6, 0:03.29, gnome-t+
0.0, 0.1, 0:00.02, bash
0.0, 0.0, 0:01.07, kworker+
0.0, 0.0, 0:00.69, kworker+
0.0, 1.8, 0:24.52, code
0.0, 0.6, 0:00.02, code
0.0, 0.6, 0:00.03, code
0.0, 0.1, 0:00.00, code
0.0, 0.0, 0:00.00, chrome_+
0.0, 0.8, 0:00.52, code
0.0, 1.1, 0:07.30, code
0.0, 1.1, 0:06.82, code
0.0, 2.0, 0:10.55, code
0.0, 1.0, 0:03.27, code
0.0, 0.1, 0:00.08, bash
0.0, 2.5, 0:56.11, code
0.0, 0.0, 0:00.41, kworker+
0.0, 0.0, 0:01.80, kworker+
0.0, 0.0, 0:00.67, kworker+
0.0, 0.0, 0:00.49, kworker+
0.0, 0.0, 0:02.89, kworker+
0.0, 0.0, 0:00.55, kworker+
0.0, 0.2, 0:00.16, smtp
0.0, 0.1, 0:00.02, bounce
0.0, 0.8, 0:01.27, gjs
0.0, 2.2, 0:17.78, Isolate+
0.0, 0.1, 0:00.01, pickup
0.0, 0.0, 0:00.16, kworker+
0.0, 0.1, 0:00.01, cleanup
0.0, 0.0, 0:00.10, kworker+
0.0, 0.0, 0:00.17, kworker+
0.0, 0.1, 0:00.01, trivial+
0.0, 0.0, 0:00.19, kworker+
0.0, 0.0, 0:00.41, kworker+
0.0, 0.9, 0:00.23, Isolate+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.8, 0:00.20, Web Con+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.01, kworker+
0.0, 0.8, 0:00.13, Web Con+
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, sleep
0.0, 0.8, 0:00.14, Web Con+
0.0, 0.0, 0:00.00, sleep
0.0, 0.0, 0:00.00, monitor+
0.0, 0.0, 0:00.00, monitor+
0.0, 0.1, 0:00.01, top
0.0, 0.0, 0:00.00, tail
5.9, 1.5, 0:45.88, code
5.9, 2.8, 2:11.24, code
5.9, 2.0, 0:10.67, code
5.9, 2.2, 0:17.79, Isolate+
5.9, 0.1, 0:00.01, top
0.0, 0.2, 0:03.74, systemd
0.0, 0.0, 0:00.00, kthreadd
0.0, 0.0, 0:00.00, rcu_gp
0.0, 0.0, 0:00.00, rcu_par+
0.0, 0.0, 0:00.00, slub_fl+
0.0, 0.0, 0:00.00, netns
0.0, 0.0, 0:00.00, kworker+
0.0, 0.0, 0:00.00, mm_perc+
0.0, 0.0, 0:00.00, rcu_tas+
0.0, 0.0, 0:00.00, rcu_tas+
